Description,IncidentNum,Location,Agency,Date
ASSAULT-INTIMIDATION,201706208,1000 BLOCK W MAIN ST,Charlottesville Police,2-22-2017 10:41 PM
ASSAULT-SIMPLE,201706224,100 BLOCK 14TH ST NW,Charlottesville Police,2-22-2017 10:00 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201706144,100 BLOCK MADISON LN,Charlottesville Police,2-22-2017 3:34 AM
DRUG/NARCOTIC VIOLATION,201706114,300 BLOCK 15TH ST,Charlottesville Police,2-21-2017 10:30 PM
LARCENY-THEFT FROM BUILDING,201705868,1100 BLOCK WERTLAND ST,Charlottesville Police,2-19-2017 11:39 PM
LARCENY-THEFT FROM BUILDING,201705844,1100 BLOCK WERTLAND ST,Charlottesville Police,2-19-2017 11:28 PM
ASSAULT-AGGRAVATED,201705733,1000 BLOCK CHERRY AVE,Charlottesville Police,2-19-2017 5:46 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201705496,1200 BLOCK WERTLAND ST,Charlottesville Police,2-17-2017 5:16 PM
LARCENY - POCKET PICKING,201705515,100 BLOCK 14TH ST NW,Charlottesville Police,2-17-2017 4:25 PM
DRIVE UNDER THE INFLUENCE,201705442,1000 BLOCK CHERRY AVE,Charlottesville Police,2-17-2017 2:07 AM
LARCENY-THEFT FROM BUILDING,201705385,800 BLOCK HARDY DR,Charlottesville Police,2-16-2017 7:37 PM
FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201705285,300 BLOCK 13TH ST NW,Charlottesville Police,2-15-2017 11:05 PM
LARCENY-ALL OTHER LARCENY,201705265,300 BLOCK 15TH ST NW,Charlottesville Police,2-15-2017 10:55 PM
LARCENY-THEFT FROM BUILDING,201705167,100 BLOCK MADISON LN,Charlottesville Police,2-14-2017 11:54 PM
ASSAULT-SIMPLE,201705165,300 BLOCK 15TH ST NW,Charlottesville Police,2-14-2017 7:42 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201704685,600 BLOCK 14TH ST,Charlottesville Police,2-11-2017 12:37 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201704647,100 BLOCK 14TH ST NW,Charlottesville Police,2-10-2017 11:44 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201704620,1200 BLOCK W MAIN ST,Charlottesville Police,2-10-2017 7:40 PM
LARCENY-ALL OTHER LARCENY,201704567,100 BLOCK MADISON LANE,Charlottesville Police,2-10-2017 4:09 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201704509,1600 BLOCK GORDON AVE,Charlottesville Police,2-9-2017 11:50 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201704313,400 BLOCK 10TH ST NW,Charlottesville Police,2-8-2017 1:17 PM
